customer_id,name,region,age
1,Customer_1,North,20
2,Customer_2,South,21
3,Customer_3,East,22
4,Customer_4,West,23
5,Customer_5,North,24
6,Customer_6,North,25
7,Customer_7,South,26
8,Customer_8,East,27
9,Customer_9,West,28
10,Customer_10,North,29
11,Customer_11,North,30
12,Customer_12,South,31
13,Customer_13,East,32
14,Customer_14,West,33
15,Customer_15,North,34
16,Customer_16,North,35
17,Customer_17,South,36
18,Customer_18,East,37
19,Customer_19,West,38
20,Customer_20,North,39
21,Customer_21,North,40
22,Customer_22,South,41
23,Customer_23,East,42
24,Customer_24,West,43
25,Customer_25,North,44
